route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Northcross To East Coast Bays Schools,3,,NZBNS,04851-20160803113210_v43.25,,048
Otahuhu To Onehunga Via Mangere Town Centre,3,,NZBWP,33405-20160729161628_v43.23,,334
HC Station to Orewa via Silverdale and Millwater,3,,NZBNS,98502-20160729161628_v43.23,,985
Mayoral Dr To Torbay Express,3,,NZBNS,85004-20160729161628_v43.23,,85X
Outer Link Herne Bay To CBD Anticlockwise,3,,NZBML,72111-20160729161628_v43.23,,OUT
"HC Station to Gulf Harbour via Silverdale, Red Beach, Vipond",3,,NZBNS,98302-20160803113210_v43.25,,983
St Heliers To Pt Chevalier Via Selwyn Village,3,,NZBML,00703-20160729161628_v43.23,,007
Mangere Town Centre To Botany Town Centre,3,,NZBWP,37505-20160803113210_v43.25,,375
Westlake Girls To Browns Bay,3,,NZBNS,87552-20160803113210_v43.25,,875
Britomart To Botany Town Centre Via Ti Rakau Dr,3,,HE,50004-20160803113210_v43.25,,500
Inner Link Newmarket To CBD Anticlockwise,3,,NZBML,79803-20160729161628_v43.23,,INN
Sturges Rd To City Centre Express,3,,NZBGW,09011-20160729161628_v43.23,,09X
Birkenhead College To Highbury,3,,BTL,00460-20160729161628_v43.23,,004
Botany To Howick Schools,3,,HE,31451-20160803113210_v43.25,,314
Takapuna Loop,3,,RTH,80309-20160729161628_v43.23,,803
Constellation Station To Epsom And Remuera Schools,3,,NZBML,06456-20160729161628_v43.23,,064
Pukekohe To Papakura via Wesley College,3,,NZBWP,47505-20160729161628_v43.23,,475
Beach Haven To Midtown Via Rangatira Rd And Highbury Bypass,3,,BTL,97405-20160729161628_v43.23,,974
Torbay To Westlake Schools,3,,NZBNS,04155-20160803113210_v43.25,,041
Britomart Train Station to Onehunga Train Station,2,,AM,40028-20160803113210_v43.25,,ONE
Oneroa Beach To Waiheke High School,3,,WBC,09151-20160803113210_v43.25,,091
Panmure To Homai Via Cavendish Dr And Highbrook,3,,HE,56103-20160729161628_v43.23,,561
Henderson To City Centre Via Glen Eden And Solar Rd,3,,NZBGW,15401-20160803113210_v43.25,,154
Outer Link St Lukes To CBD Clockwise,3,,NZBML,73106-20160803113210_v43.25,,OUT
Windy Ridge To Takapuna Via North Shore Hospital,3,,NZBNS,91301-20160729161628_v43.23,,913
Henderson Train Station to Britomart Train Station,2,,AM,10115-20160803113210_v43.25,,WEST
Half Moon Bay Marina to Lloyd Elsmore Park,3,,HE,56402-20160803113210_v43.25,,564
Meadowood To Albany Schools,3,,RTH,06055-20160803113210_v43.25,,060
Wairau Rd To Auckland University,3,,BTL,95101-20160729161628_v43.23,,951
Sandringham To Ponsonby Intermediate,3,,NZBGW,01055-20160729161628_v43.23,,010
City Centre To Helensville,3,,RTH,06002-20160803113210_v43.25,,060
Long Bay College To Browns Bay Shops,3,,NZBNS,07052-20160803113210_v43.25,,070
City Centre To Laingholm Express,3,,RTH,17104-20160729161628_v43.23,,171X
Whangaparaoa College To Silverdale,3,,BAYES,01760-20160729161628_v43.23,,017
Newmarket To Albany Station,3,,NZBNS,88104-20160729161628_v43.23,,881
Outer Link Herne Bay To CBD Clockwise,3,,NZBML,73104-20160729161628_v43.23,,OUT
Remuera Intermediate To Drury,3,,NZBWP,05054-20160729161628_v43.23,,050
Epsom Girls Grammar to Waikowhai,3,,NZBML,03252-20160729161628_v43.23,,032
Auckland To Waiheke Island Via Devonport (Pier 2),4,,FGL,98014-20160803113210_v43.25,,MTIA
Gulf Harbour Ferry to The Plaza via Shakespear Regional Park,3,,NZBNS,98801-20160729161628_v43.23,,988
Onehunga Train Station to Britomart Train Station,2,,AM,40023-20160729161628_v43.23,,ONE
Rangitoto College To Takapuna,3,,NZBNS,06654-20160803113210_v43.25,,066
Glen Innes To Pt Chevalier,3,,NZBML,00701-20160803113210_v43.25,,007
Laingholm To City Centre Express,3,,RTH,17103-20160729161628_v43.23,,171X
City Centre To Hobsonville,3,,RTH,09202-20160729161628_v43.23,,092
Remuera To Epsom Schools,3,,NZBML,02851-20160729161628_v43.23,,028
Britomart Train Station to Manukau Train Station,2,,AM,50072-20160803113210_v43.25,,EAST
Green Bay High To Kaurilands,3,,RTH,00552-20160803113210_v43.25,,005
Howick To Manukau City Centre Via Botany Town Centre,3,,HE,58002-20160803113210_v43.25,,580
Britomart To North Park Via Newmarket,3,,HE,55102-20160803113210_v43.25,,551
Onehunga To Civic Centre Via Oranga,3,,NZBML,31201-20160803113210_v43.25,,312
Mcauley High To Flat Bush,3,,NZBWP,02254-20160729161628_v43.23,,022
Rutherford College To Glendene,3,,RTH,01352-20160803113210_v43.25,,013
Britomart To Glen Innes Via Meadowbank And Parnell,3,,NZBML,65502-20160803113210_v43.25,,655
Glenfield Shops To Mayoral Dr Via Coronation Rd,3,,NZBNS,95201-20160803113210_v43.25,,952
Takapuna To Bayswater Wharf,3,,RTH,80304-20160729161628_v43.23,,803
Manukau City Centre To Onehunga Via Mangere Town Centre,3,,NZBWP,34803-20160729161628_v43.23,,348
Mangere Town Centre To Britomart Flyer,3,,NZBWP,29003-20160729161628_v43.23,,29F
Onetangi To Matiatia Wharf via Jellicoe Parade,3,,WBC,00109-20160729161628_v43.23,,1
Lloyd Elsmore Park to Half Moon Bay Marina,3,,HE,56401-20160803113210_v43.25,,564
Wairau Valley To Westlake Schools,3,,NZBNS,01857-20160729161628_v43.23,,018
Auckland Pier 1 To Half Moon Bay,4,,FGL,95014-20160803113210_v43.25,,HMB
West Harbour To Holy Cross School,3,,RTH,05053-20160803113210_v43.25,,050
Bucklands Beach To Britomart Via Newmarket And Half Moon Bay,3,,HE,55203-20160729161628_v43.23,,552
Carmel College And Westlake Girls To Gulf Harbour,3,,NZBNS,04752-20160729161628_v43.23,,047
Bayswater To Mayoral Dr Express,3,,RTH,80205-20160803113210_v43.25,,802X
"Orewa to HC Station, via Maygrove, Red Beach and Silverdale",3,,NZBNS,98401-20160729161628_v43.23,,984
Whenuapai To City Centre,3,,RTH,09501-20160803113210_v43.25,,095
Outer Link St Lukes To CBD Anticlockwise,3,,NZBML,72107-20160729161628_v43.23,,OUT
Mayoral Dr To Unsworth Heights Express,3,,RTH,90002-20160803113210_v43.25,,900X
Western Springs College To Herne Bay,3,,NZBML,02056-20160729161628_v43.23,,020
Britomart To Remuera Via Portland Rd,3,,NZBML,70304-20160803113210_v43.25,,703
Glenfield To Westlake Schools Via Marlborough,3,,NZBNS,03751-20160729161628_v43.23,,037
Albany Schools To Albany Heights,3,,RTH,06152-20160803113210_v43.25,,061
Star Of The Sea School To Highland Park,3,,HE,31351-20160803113210_v43.25,,313
Mangere To Onehunga Schools,3,,NZBML,05951-20160803113210_v43.25,,059
Albany To Westlake Schools,3,,NZBNS,04251-20160729161628_v43.23,,042
Papatoetoe Intermediate To Wiri Depot Via Puhinui,3,,NZBWP,02854-20160803113210_v43.25,,028
McAuley High To Onehunga Transport Centre,3,,NZBWP,00156-20160729161628_v43.23,,001
Auckland To Rakino Island,4,,BFL,99112-20160803113210_v43.25,,RAK
Long Bay To Mayoral Dr Via Forrest Hill,3,,NZBNS,87901-20160803113210_v43.25,,879
Seventh Day Adventist Primary To Papatoetoe,3,,NZBWP,05156-20160803113210_v43.25,,051
Mayoral Dr To Long Bay Express,3,,NZBNS,76004-20160729161628_v43.23,,76X
Takapuna To Bayswater Via Francis St,3,,RTH,80302-20160803113210_v43.25,,803
Britomart To Cockle Bay and Botany Via Newmarket,3,,HE,55006-20160803113210_v43.25,,550
Papatoetoe Intermediate To Puhinui,3,,NZBWP,02652-20160803113210_v43.25,,028
Papakura Train Station to Britomart Train Station,2,,AM,20169-20160803113210_v43.25,,STH
Manurewa East To Botany Town Centre Via Otara And Homai,3,,HE,56802-20160729161628_v43.23,,568
Botany Town Centre To Mangere Town Centre,3,,NZBWP,37504-20160729161628_v43.23,,375
Westmere To Downtown Express,3,,NZBML,02003-20160729161628_v43.23,,020X
Beach Haven To Westlake Schools,3,,BTL,00657-20160729161628_v43.23,,006
Newmarket To Albany Station,3,,NZBNS,88104-20160803113210_v43.25,,881
Farm Cove Int And St Marks To Pakuranga Plaza,3,,HE,08552-20160729161628_v43.23,,085
Remuera To Auckland Grammar,3,,NZBML,00953-20160729161628_v43.23,,009
Westgate To Helensville,3,,RTH,06004-20160729161628_v43.23,,060
Epsom Schools To St Heliers Via Glendowie,3,,NZBML,00352-20160803113210_v43.25,,003
Mangere To St Josephs School (Onehunga),3,,NZBML,08451-20160729161628_v43.23,,084
Britomart To Glen Innes Via Mission Bay And Long Drive,3,,NZBML,75502-20160803113210_v43.25,,755
Bayview To Midtown,3,,BTL,95501-20160729161628_v43.23,,955
Wairau Intermediate To Birkdale,3,,BTL,07358-20160803113210_v43.25,,073
Balmoral To Mt Albert Grammar,3,,NZBML,00751-20160729161628_v43.23,,007
Otahuhu To Ascot Park,3,,NZBWP,33201-20160803113210_v43.25,,332
New Lynn To Midtown Express Via Owairaka,3,,NZBML,24305-20160729161628_v43.23,,243X
Sacred Heart College To Parnell,3,,HE,01756-20160729161628_v43.23,,017
Kingsway School To Gulf Harbour,3,,BAYES,01256-20160729161628_v43.23,,012
Epsom Girls Grammar To Herne Bay,3,,NZBML,02352-20160729161628_v43.23,,023
Chatswood To Northcote Schools,3,,BTL,08051-20160803113210_v43.25,,080
Bucklands Beach To Panmure Via Vivian Wilson Dr,3,,HE,55215-20160729161628_v43.23,,552
Bayswater To Takapuna Via Westlake,3,,RTH,80403-20160803113210_v43.25,,804
Waikowhai To Britomart,3,,NZBML,27701-20160803113210_v43.25,,277
Seventh Day Adventist Primary To Mangere Town Centre,3,,NZBWP,00358-20160803113210_v43.25,,003
Mayoral Dr To Long Bay Via Forrest Hill,3,,NZBNS,87902-20160803113210_v43.25,,879
380 Queen St To Airport Via Dominion Rd,3,,ABEXP,30012-20160803113210_v43.25,,SKY
Onehunga To Panmure Via Mangere And Otahuhu,3,,NZBWP,35902-20160729161628_v43.23,,359
Waiheke High School To Piemelon Bay Rd,3,,WBC,09652-20160729161628_v43.23,,096
Swanson Station to Waitakere Station (S),3,,NZBGW,13904-20160803113210_v43.25,,139
Parrs Park To City Centre Express Via Te Atatu South,3,,NZBGW,07011-20160729161628_v43.23,,07X
Onehunga High To Mangere Bridge,3,,NZBML,00354-20160803113210_v43.25,,003
St Johns Schools To Forrest Hill,3,,NZBNS,03156-20160803113210_v43.25,,031
New Lynn To Blockhouse Bay Intermediate,3,,RTH,00851-20160729161628_v43.23,,008
City Centre To Westgate Via Massey East,3,,RTH,09002-20160803113210_v43.25,,090
Matiatia Wharf To Onetangi Via Seaview Rd,3,,WBC,00106-20160729161628_v43.23,,1A
Northcote College To Hillcrest,3,,BTL,08156-20160729161628_v43.23,,081
Botany Downs To Sacred Heart College,3,,HE,01451-20160729161628_v43.23,,014
Bucklands Beach To Panmure Via Eastern Beach,3,,HE,55211-20160729161628_v43.23,,552
Bayswater To Auckland,4,,FGL,90011-20160729161628_v43.23,,BAYS
Seventh Day Adventist Primary To Mangere Bridge Shops,3,,NZBWP,00458-20160729161628_v43.23,,004
Howick College To Panmure,3,,HE,30352-20160729161628_v43.23,,303
Albany Station To Newmarket Via Ponsonby,3,,NZBNS,96201-20160729161628_v43.23,,962
Howick To Middlemore Via Otara And Highbrook,3,,HE,57503-20160803113210_v43.25,,575
Akoranga Station To Constellation Station Via Takapuna,3,,NZBNS,84302-20160803113210_v43.25,,843
Manurewa to Wattle Farm,3,,NZBWP,45606-20160803113210_v43.25,,456
Takapuna To Glenfield Via Northcote,3,,RTH,91102-20160803113210_v43.25,,911
Howick College To Dannemora Dr,3,,HE,31152-20160729161628_v43.23,,311
Macleans College To Bucklands Beach,3,,HE,32652-20160803113210_v43.25,,326
Manukau City Centre To Britomart Via Massey Rd,3,,NZBWP,32703-20160803113210_v43.25,,327
Otahuhu To Britomart Flyer Via Mt Wellington Hwy,3,,NZBWP,52003-20160803113210_v43.25,,52F
Ranui To City Centre Express,3,,NZBGW,13011-20160803113210_v43.25,,13X
McAuley High To Onehunga Via Mangere And Mangere Bridge,3,,NZBWP,03458-20160729161628_v43.23,,034
Mt Wellington To Britomart Via Carbine Rd And Ellerslie,3,,NZBWP,51101-20160803113210_v43.25,,511
Britomart to HC Station via all Busway Stations (S),3,,RTH,10008-20160803113210_v43.25,,NEX
Henderson To New Lynn,3,,NZBGW,15303-20160803113210_v43.25,,153
Britomart To Otahuhu Via Glen Innes And Panmure,3,,NZBML,71702-20160803113210_v43.25,,717
Howick Intermediate To Manukau Station,3,,HE,05858-20160803113210_v43.25,,058
Mangere Town Centre To Civic Centre Express,3,,NZBWP,30503-20160729161628_v43.23,,305X
Panmure Town Centre To Ellerslie Penrose Schools,3,,NZBML,06157-20160803113210_v43.25,,061
Lucerne Rd To Civic Centre Via Benson Rd,3,,NZBML,60501-20160729161628_v43.23,,605
Westlake Schools To Devonport,3,,RTH,01758-20160729161628_v43.23,,017
Baradene College To Bucklands Beach,3,,HE,01152-20160803113210_v43.25,,011
Mt Wellington To Ellerslie Penrose Schools,3,,NZBWP,06253-20160729161628_v43.23,,062
New Lynn To Hobsonville,3,,RTH,13006-20160803113210_v43.25,,130
Britomart Train Station to Sylvia Park Train Station,2,,AM,50080-20160729161628_v43.23,,EAST
Torbay To Mayoral Dr Express Via Crown Hill,3,,NZBNS,86605-20160803113210_v43.25,,866X
New Lynn To Henderson Via Great North Rd,3,,NZBGW,11304-20160729161628_v43.23,,113
Accent Dr To Howick Schools,3,,HE,31751-20160729161628_v43.23,,317
Royal Oak Intermediate To Mangere,3,,NZBML,00356-20160729161628_v43.23,,003
Britomart To Otahuhu Via Mangere Town Centre,3,,NZBWP,33402-20160729161628_v43.23,,334
Torbay To Kingsway School,3,,BAYES,00957-20160729161628_v43.23,,009
Auckland To Bayswater,4,,FGL,90012-20160729161628_v43.23,,BAYS
Downtown To Airport Via Dominion Rd,3,,ABEXP,30006-20160803113210_v43.25,,SKY
Glenfield Mall To Auckland University,3,,BTL,95103-20160729161628_v43.23,,951
Inner Link Newmarket To CBD Clockwise,3,,NZBML,79904-20160803113210_v43.25,,INN
Rosehill College To Wattle Downs,3,,NZBWP,05656-20160729161628_v43.23,,056
Beach Haven To Albany Station Via Massey University,3,,BTL,95703-20160803113210_v43.25,,957
Long Bay College To Murrays Bay,3,,NZBNS,05354-20160729161628_v43.23,,053
Glendowie South To Britomart Via Tamaki Dr,3,,NZBML,76701-20160729161628_v43.23,,767
Onehunga Industrial Via Otahuhu And Ascot Park,3,,NZBWP,33801-20160803113210_v43.25,,338
Otahuhu To Edgewater College,3,,HE,07353-20160803113210_v43.25,,073
Long Bay To Westlake Schools,3,,NZBNS,03351-20160729161628_v43.23,,033
Britomart To Manukau City Centre Via Otara And Flat Bush,3,,NZBWP,49702-20160803113210_v43.25,,497
Glen Innes To Britomart Via Meadowbank And Parnell,3,,NZBML,65501-20160729161628_v43.23,,655
Otahuhu To Onehunga Via Massey Rd,3,,NZBWP,33407-20160803113210_v43.25,,334
Mangere Town Centre To Civic Centre Via Onehunga,3,,NZBML,30501-20160803113210_v43.25,,305
Westlake Schools To Glenfield Shops,3,,NZBNS,07452-20160803113210_v43.25,,074
Sancta Maria Schools To Highland Park,3,,HE,01858-20160729161628_v43.23,,018
Blockhouse Bay To Civic Centre Express,3,,NZBML,25809-20160729161628_v43.23,,258X
City Centre To New Lynn V Blockhouse Bay Rd And Green Bay(U),3,,UE,19502-20160729161628_v43.23,,195
Remuera To Sacred Heart College,3,,HE,02053-20160729161628_v43.23,,020
New Lynn To Glen Eden Via Titirangi,3,,NZBGW,17202-20160803113210_v43.25,,172
Auckland Grammar To St Heliers Via Mission Bay,3,,NZBML,77104-20160803113210_v43.25,,771
City Centre To Papakura Via Great South Rd,3,,NZBWP,52407-20160729161628_v43.23,,N47
Glen Eden To Green Bay High,3,,RTH,00653-20160803113210_v43.25,,006
Favona To Onehunga Schools Via Mangere Bridge,3,,NZBML,06251-20160803113210_v43.25,,062
Blockhouse Bay to City Centre,3,,UE,19505-20160729161628_v43.23,,195
Highland Park To Howick Schools,3,,HE,07251-20160803113210_v43.25,,072
Orewa To Westlake Schools,3,,NZBNS,04551-20160803113210_v43.25,,045
Otara To Edgewater College,3,,HE,01353-20160729161628_v43.23,,013
Midtown To Beach Haven Via Rangatira Rd,3,,BTL,97304-20160729161628_v43.23,,973
Gulf Harbour School To Whangaparaoa College,3,,BAYES,01952-20160803113210_v43.25,,019
Wairau Rd To Auckland University,3,,BTL,95101-20160803113210_v43.25,,951
St Josephs To Silverdale Express,3,,RTH,04662-20160803113210_v43.25,,046
Te Papapa To Civic Centre,3,,NZBML,39201-20160803113210_v43.25,,392
New Lynn To Midtown not stopping at Richardson Tavern,3,,NZBML,24909-20160729161628_v43.23,,249
Epsom Schools To Mission Bay,3,,NZBML,00752-20160803113210_v43.25,,007
Manukau To Airport,3,,ATAPT,38005-20160803113210_v43.25,,380
City Centre To Titirangi Via New North Rd And Green Bay (U),3,,UE,20902-20160729161628_v43.23,,209
Downtown To Sacred Heart College,3,,HE,01755-20160729161628_v43.23,,017
City Centre To New Lynn V BlockhouseBay Road And GreenBay(N),3,,NZBGW,19512-20160803113210_v43.25,,195
Panmure To Bucklands Beach Via Vivian Wilson Dr (S),3,,HE,55212-20160729161628_v43.23,,552
New Lynn To Henderson Via Glendene,3,,NZBGW,11504-20160803113210_v43.25,,115
Unsworth To Glenfield College,3,,BTL,07853-20160803113210_v43.25,,078
St Heliers To Eastridge Via Mission Bay,3,,NZBML,77107-20160803113210_v43.25,,771
Onehunga To Manukau City Centre,3,,NZBWP,34804-20160803113210_v43.25,,348
Onehunga To Otahuhu Via Massey Rd,3,,NZBWP,33408-20160803113210_v43.25,,334
St Heliers To Pt Chevalier Via Greenlane Hospital,3,,NZBML,00705-20160729161628_v43.23,,007
Civic Centre To Onehunga,3,,NZBML,30202-20160729161628_v43.23,,302
Manukau City Centre To Otahuhu,3,,NZBWP,48703-20160729161628_v43.23,,487
Mayoral Dr To Long Bay Via Crown Hill,3,,NZBNS,83902-20160803113210_v43.25,,839
Gulf Harbour To North Cross,3,,BAYES,02653-20160729161628_v43.23,,026
Kingsway School To Stanmore Bay,3,,BAYES,01356-20160803113210_v43.25,,013
Epsom Schools To Kohimarama,3,,NZBML,00152-20160803113210_v43.25,,001
Rosehill Intermediate To Manurewa Via Conifer Grove,3,,NZBWP,05854-20160729161628_v43.23,,058
Inner Link Ponsonby To CBD Anticlockwise,3,,NZBML,79807-20160729161628_v43.23,,INN
New Lynn To Midtown Via Sandringham Rd,3,,NZBML,24301-20160803113210_v43.25,,243
Panmure To Baradene College,3,,HE,02255-20160729161628_v43.23,,022
Midtown To New Lynn Via Sandringham Rd (4-6pm),3,,NZBML,24304-20160803113210_v43.25,,243
Britomart To Mission Heights Via Botany Town Centre,3,,HE,50002-20160729161628_v43.23,,500
Kingsway School To Torbay,3,,BAYES,00962-20160803113210_v43.25,,009
Highbury To Newmarket,3,,BTL,96605-20160803113210_v43.25,,966
Matiatia Wharf To Rocky Bay,3,,WBC,00202-20160729161628_v43.23,,2
Westgate To City Centre Via Massey East,3,,RTH,09001-20160729161628_v43.23,,090
Carmel College To Beach Haven,3,,BTL,02756-20160729161628_v43.23,,027
Botany Town Centre To Farm Cove Intermediate,3,,HE,05653-20160803113210_v43.25,,056
Civic Centre To Mangere Town Centre Via Onehunga,3,,NZBML,30502-20160803113210_v43.25,,305
Midtown To Windy Ridge,3,,BTL,95302-20160803113210_v43.25,,953
Long Bay College To Windsor Park,3,,NZBNS,04552-20160803113210_v43.25,,045
Pine Harbour To Auckland,4,,PHH,99011-20160729161628_v43.23,,PINE
North Cross To Gulf Harbour,3,,BAYES,02656-20160803113210_v43.25,,026
St Josephs School (Onehunga) To Mangere Town Centre,3,,NZBML,08454-20160729161628_v43.23,,084
Botany Town Centre To Manurewa East Via Otara And Homai,3,,HE,56801-20160803113210_v43.25,,568
Meadowood To Albany Schools,3,,RTH,06055-20160729161628_v43.23,,060
Britomart Train Station to Henderson Train Station,2,,AM,10046-20160803113210_v43.25,,WEST
Britomart To Manukau City Centre Via Middlemore Hospital,3,,NZBWP,32702-20160803113210_v43.25,,327
Epsom Schools To St Heliers Via Orakei,3,,NZBML,00252-20160803113210_v43.25,,002
Mayoral Dr To Hillcrest,3,,RTH,92102-20160803113210_v43.25,,921
Britomart To Hospitals,3,,NZBML,28302-20160803113210_v43.25,,283
Auckland University To Chatswood,3,,BTL,97102-20160803113210_v43.25,,971
St Lukes to Onehunga,3,,NZBML,01102-20160729161628_v43.23,,011
Otahuhu To Britomart Via Panmure And Glen Innes,3,,NZBML,71701-20160729161628_v43.23,,717
Westlake Boys To Manly,3,,NZBNS,04954-20160803113210_v43.25,,049
Bayswater Wharf To Takapuna Via Westlake,3,,RTH,80401-20160729161628_v43.23,,804
Orewa To Whangaparaoa College,3,,BAYES,01853-20160803113210_v43.25,,018
Rosebank Rd To Midtown Express,3,,NZBGW,22103-20160729161628_v43.23,,221X
Remuera Intermediate To Kohimarama,3,,NZBML,05652-20160803113210_v43.25,,056
Auckland To Birkenhead Via Bayswater and Northcote Point,4,,FGL,91016-20160803113210_v43.25,,BIRK
Albany Schools to Meadowood,3,,RTH,06058-20160729161628_v43.23,,060
Bayview To Westlake Girls,3,,BTL,01557-20160803113210_v43.25,,015
Onetangi To Matiatia Wharf Via Seaview Rd,3,,WBC,00105-20160729161628_v43.23,,1A
Middlemore Hospital To Papatoetoe Schools,3,,NZBWP,02751-20160729161628_v43.23,,027
Sacred Heart College To Glen Innes Village,3,,NZBML,00762-20160729161628_v43.23,,007
Long Bay College To Pinehill,3,,NZBNS,07156-20160729161628_v43.23,,071
Panmure To Bucklands Beach,3,,HE,55206-20160729161628_v43.23,,552
Takapuna To Albany Station,3,,NZBNS,89102-20160803113210_v43.25,,891
City Centre To New Lynn V BlockhouseBay Road And GreenBay(N),3,,NZBGW,19512-20160729161628_v43.23,,195
Selwyn College To Ellerslie Shops,3,,NZBML,04658-20160803113210_v43.25,,046
Selwyn College To Remuera,3,,NZBML,04554-20160803113210_v43.25,,045
St Heliers To Epsom Schools & Kadimah,3,,NZBML,01655-20160803113210_v43.25,,016
Midtown To Glenfield Mall,3,,BTL,95002-20160729161628_v43.23,,950
Homai To Rosehill Schools,3,,NZBWP,05853-20160803113210_v43.25,,058
Otahuhu To Manukau City Centre Via Otara And Flat Bush,3,,NZBWP,49704-20160803113210_v43.25,,497
Outer Link Clockwise,3,,NZBML,73102-20160729161628_v43.23,,OUT
City Centre To Te Atatu Peninsula,3,,NZBGW,04802-20160729161628_v43.23,,048
Auckland To Waiheke Island (Pier 2),4,,FGL,98012-20160803113210_v43.25,,MTIA
Civic Centre To Mangere Town Centre Express,3,,NZBWP,30504-20160803113210_v43.25,,305X
Pukekohe To Tuakau To Pukekohe,3,,NZBWP,47600-20160729161628_v43.23,,476
Glen Innes Centre To Britomart Via Panmure And Ellerslie,3,,NZBML,59501-20160729161628_v43.23,,595
Beach Haven To Rosmini St Josephs,3,,BTL,02057-20160729161628_v43.23,,020
Northcote College To Hillcrest,3,,BTL,08156-20160803113210_v43.25,,081
Sturges Rd To City Centre Express,3,,NZBGW,09011-20160803113210_v43.25,,09X
Glenfield To Kingsway School,3,,BAYES,01155-20160729161628_v43.23,,011
Britomart To Bucklands Beach Via Newmarket,3,,HE,55202-20160729161628_v43.23,,552
Keri Hill To Britomart,3,,NZBWP,47301-20160803113210_v43.25,,473
One Tree Hill College To Mt Wellington,3,,NZBML,06358-20160729161628_v43.23,,063
Te Atatu Peninsula To City Centre Express,3,,NZBGW,04011-20160803113210_v43.25,,04X
Pt Chevalier To City Centre,3,,NZBML,03001-20160729161628_v43.23,,030
Mayoral Dr To Constellation Station Express Via Sunnynook,3,,NZBNS,87304-20160803113210_v43.25,,873X
Britomart To Bucklands Beach Express Via Tamaki Campus,3,,HE,55402-20160803113210_v43.25,,554X
Takapuna Grammar To Devonport,3,,RTH,08054-20160803113210_v43.25,,080
Midtown To New Lynn Via Sandringham Road,3,,NZBML,24302-20160803113210_v43.25,,243
Britomart To Panmure Via Mission Bay And Glen Innes,3,,NZBML,75602-20160729161628_v43.23,,756
Westgate To City Centre Via Don Buck Rd,3,,RTH,08101-20160729161628_v43.23,,081
Britomart Train Station to Papakura Train Station,2,,AM,20120-20160729161628_v43.23,,STH
Mangere To St Josephs School (Onehunga),3,,NZBML,08451-20160803113210_v43.25,,084
West Harbour To Auckland,4,,BFL,99511-20160803113210_v43.25,,WSTH
Papakura Train Station to Britomart Train Station,2,,AM,20169-20160729161628_v43.23,,STH
Swanson Station to Waitakere Station,3,,NZBGW,13902-20160729161628_v43.23,,139
Manukau Train Station to Britomart Train Station,2,,AM,50091-20160803113210_v43.25,,EAST
Mayoral Dr To Constellation Station Express,3,,NZBNS,87404-20160729161628_v43.23,,874X
Pt Chevalier To City Centre Via Muripara Ave,3,,NZBML,03003-20160729161628_v43.23,,030
Carmel And Westlake Schools To Chatswood,3,,BTL,00360-20160803113210_v43.25,,003
Westlake Schools To Totara Vale,3,,NZBNS,02354-20160729161628_v43.23,,023
Constellation Station To Akoranga Station Via Takapuna,3,,NZBNS,84301-20160803113210_v43.25,,843
Birkenhead Schools To Chatswood,3,,BTL,07956-20160729161628_v43.23,,079
Onehunga To Otahuhu Via Mangere Town Centre,3,,NZBWP,33406-20160729161628_v43.23,,334
Glendowie North To Britomart Via Tamaki Dr,3,,NZBML,76901-20160729161628_v43.23,,769
Birkenhead Wharf To Albany Station Via Highbury,3,,BTL,95701-20160803113210_v43.25,,957
Long Bay To Constellation Station Via Albany,3,,RTH,88705-20160729161628_v43.23,,887
Bucklands Beach To Britomart Via Newmarket And Half Moon Bay,3,,HE,55203-20160803113210_v43.25,,552
Ostend To Matiatia Wharf,3,,WBC,00101-20160803113210_v43.25,,1
Campbells Bay Primary To Milford,3,,NZBNS,04252-20160803113210_v43.25,,042
Western Springs College To Herne Bay,3,,NZBML,02056-20160803113210_v43.25,,020
City Centre To Ranui Via Te Atatu South,3,,NZBGW,09702-20160803113210_v43.25,,097
De La Salle College To Pt England,3,,NZBWP,03652-20160803113210_v43.25,,036
Balmoral To Mt Albert Grammar,3,,NZBML,00751-20160803113210_v43.25,,007
Orewa To Whangaparaoa College,3,,BAYES,01853-20160729161628_v43.23,,018
Takapuna To Bayview,3,,BTL,91504-20160803113210_v43.25,,915
Mairangi Bay To Mayoral Dr Via Long Bay College,3,,NZBNS,83909-20160803113210_v43.25,,839
Newmarket To Albany Village,3,,NZBNS,89104-20160729161628_v43.23,,891X
Pukekohe Train Station to Papakura Train Station,2,,AM,30117-20160803113210_v43.25,,PUK
Sacred Heart College To Remuera,3,,HE,02054-20160803113210_v43.25,,020
City Centre To Te Atatu Peninsula Express,3,,NZBGW,04012-20160803113210_v43.25,,04X
Windy Ridge To Takapuna Via North Shore Hospital,3,,NZBNS,91301-20160803113210_v43.25,,913
St Heliers To Pt Chevalier Via Hospital And Selwyn Village,3,,NZBML,00707-20160729161628_v43.23,,007
Papatoetoe Intermediate To Papatoetoe Town Hall,3,,NZBWP,02554-20160729161628_v43.23,,025
Civic Centre To Howick Via Pakuranga,3,,HE,52500-20160803113210_v43.25,,N50
Greenhithe To Takapuna Schools,3,,PBC,33151-20160803113210_v43.25,,331
Rosmini College To Verrans Corner,3,,BTL,03356-20160729161628_v43.23,,033
Te Atatu Peninsula To New Lynn,3,,NZBGW,12101-20160729161628_v43.23,,121
Britomart Train Station to Papakura Train Station,2,,AM,20134-20160803113210_v43.25,,STH
Devonport To Westwell Rd Via Ngataringa Rd,3,,RTH,81501-20160729161628_v43.23,,815
