route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Inner Link K Rd To CBD Anticlockwise,3,,NZBML,79805-20160803113210_v43.25,,INN
Sacred Heart College To Howick,3,,HE,01652-20160729161628_v43.23,,016
St Marys Primary To Beach Haven,3,,BTL,03552-20160729161628_v43.23,,035
Windy Ridge To Takapuna,3,,NZBNS,91303-20160729161628_v43.23,,913
Civic Centre To Otahuhu Via Favona,3,,NZBML,30402-20160729161628_v43.23,,304
Henderson To Rutherford College,3,,RTH,01453-20160803113210_v43.25,,014
Selwyn College To Ellerslie Shops,3,,NZBML,04658-20160729161628_v43.23,,046
Matiatia Wharf To Onetangi Direct,3,,WBC,00402-20160729161628_v43.23,,4
Patiki Rd To New Lynn Via Rosebank Rd,3,,NZBGW,10202-20160803113210_v43.25,,102
Manukau City Centre To Britomart Express Via East Tamaki Rd,3,,NZBWP,45707-20160729161628_v43.23,,457X
Waiuku To Papakura,3,,NZBWP,47901-20160729161628_v43.23,,479
Britomart To Albany Station,3,,RTH,10002-20160803113210_v43.25,,NEX
Westlake Boys To Totara Vale,3,,NZBNS,04852-20160729161628_v43.23,,048
Howick College To Kilkenny Dr,3,,HE,30952-20160803113210_v43.25,,309
Avondale College To Glendene,3,,RTH,01560-20160803113210_v43.25,,015
East Tamaki To Weymouth Via Cavendish Dr And Highbrook,3,,HE,56101-20160803113210_v43.25,,561
Somerville Intermediate To Flat Bush Via Kilkenny Dr,3,,HE,31652-20160729161628_v43.23,,316
Mayoral Dr To Takapuna Via Northcote,3,,RTH,92202-20160803113210_v43.25,,922
Highland Park To Howick Schools,3,,HE,07251-20160729161628_v43.23,,072
Long Bay To Mayoral Dr Via North Shore Hospital,3,,NZBNS,85803-20160803113210_v43.25,,858
Britomart To Auckland Girls Grammar,3,,NZBML,01555-20160803113210_v43.25,,015
Mairangi Bay To Mayoral Dr Express,3,,NZBNS,86303-20160729161628_v43.23,,863X
Auckland To Pine Harbour,4,,PHH,99012-20160729161628_v43.23,,PINE
Britomart To Bucklands Beach Express Via Tamaki Campus,3,,HE,55402-20160729161628_v43.23,,554X
Selwyn College To Meadowbank,3,,NZBML,05558-20160729161628_v43.23,,055
Verrans Corner To Glenfield Schools,3,,BTL,07751-20160729161628_v43.23,,077
Glenfield To Takapuna,3,,BTL,91501-20160803113210_v43.25,,915
Piemelon Bay Rd To Waiheke High School,3,,WBC,09253-20160729161628_v43.23,,092
Macleans College To Botany Downs,3,,HE,08154-20160803113210_v43.25,,081
Britomart Train Station to Papakura Train Station,2,,AM,20142-20160729161628_v43.23,,STH
Arkles Bay to The Plaza,3,,NZBNS,98701-20160729161628_v43.23,,987
Botany Town Centre To Beachlands,3,,HE,58902-20160729161628_v43.23,,589
Botany Town Centre To Half Moon Bay Via Gossamer Dr,3,,HE,56502-20160729161628_v43.23,,565
St Johns School To Milford,3,,NZBNS,05456-20160729161628_v43.23,,054
Onehunga To New Lynn,3,,UE,00901-20160729161628_v43.23,,009
Papakura To Pukekohe,3,,NZBWP,47502-20160803113210_v43.25,,475
Manukau Station To Howick Via Sancta Maria Schools,3,,HE,58005-20160729161628_v43.23,,580
Papatoetoe Intermediate To Manukau,3,,NZBWP,02452-20160729161628_v43.23,,024
